,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,Date,,scopus,wos,kci,sum
11,Design and verification of a single-channel pump model based on a hybrid optimization technique,0,Kim J.-H.,MDPI AG,"Kim Jin-hyuk, Ma Sang-bum, Kim Sung, Choi Youngseok, Kim Kwang-yong",747,Article,ProcessesOpen Access,2019,,1,1,0,1
12,Single and multi-objective optimization of a three-dimensional unbalanced split-and-recombine micromixer,0,Kim K.-Y.,MDPI AG,"Raza Wasim, Ma Sang-bum, Kim Kwang-yong",711,Article,MicromachinesOpen Access,01-Oct-19,,1,1,0,1
13,Effects of bridge-shaped microchannel geometry on the performance of a micro laminar flow fuel cell,0,Kim K.-Y.,MDPI AG,"Tanveer Muhammad, Kim Kwang-yong",822,Article,MicromachinesOpen Access,01-Dec-19,,1,1,0,1
14,0,0,0,0,0,0,0,0,0,,0,0,1,1
15,Asymmetrical split-and-recombine micromixer with baffles,0,Kim K.-Y.,MDPI AG,"Raza Wasim, Kim Kwang-yong",844,Article,MicromachinesOpen Access,01-Dec-19,,1,1,0,1
16,Integrated vortex micro T-mixer for rapid mixing of fluids,0,Kim K.-Y.,Korean Society of Mechanical Engineers,"Ansari Mubashshir Ahmad, Kim Kwang-yong, Min Sun",5923-5931,Article,Journal of Mechanical Science and Technology,01-Dec-19,,1,1,1,1
17,0,0,0,0,0,0,0,0,0,,0,0,1,1
18,0,0,0,0,0,0,0,0,0,,0,1,0,1
19,Catalytic transfer hydrogenation of bio-based furfural by palladium supported on nitrogen-doped porous carbon,0,Ahn W.-S.,Elsevier B.V.,"Puthiaraj Pillaiyar, Kim Kyoungsoo, Ahn Whaseung",49-58,Article,Catalysis Today,01-Mar-19,,1,1,0,1
20,Fly ash-derived mesoporous silica foams for CO2 capture and aqueous Nd3+ adsorption,0,Ahn W.-S.,Korean Society of Industrial Engineering Chemistry,"Zhang Siqian, Ravi Seenu, Lee Yuri, Ahn Jiwhan, Ahn Whaseung",241-249,Article,Journal of Industrial and Engineering Chemistry,25-Apr-19,,1,1,1,1
21,0,0,0,0,0,0,0,0,0,,0,0,0,0
22,0,0,0,0,0,0,0,0,0,,0,1,0,1
23,Amine-Functionalized Metal-Organic Frameworks and Covalent Organic Polymers as Potential Sorbents for Removal of Formaldehyde in Aqueous Phase: Experimental Versus Theoretical Study,0,Kim K.-H.,American Chemical Society,"Vellingiri Kowsalya, Deng Yaxin, Kim Ki Hyun, Jiang Jheng-Jie, Kim Taejin, Shang Jin, Ahn Whaseung, Kukkar Deepak, Boukhvalov Danil W.",1426-1439,Article,ACS Applied Materials and Interfaces,09-Jan-19,,1,1,0,1
24,Catalytic dehydrogenation of formic acid over palladium nanoparticles immobilized on fibrous mesoporous silica KCC-1,0,Ahn W.-S.,Science Press,"Zhang Siqian, Qian Yingjie, Ahn Whaseung",1704-1712,Article,Chinese Journal of Catalysis,Nov-19,,1,1,0,1
25,Competitive adsorption of gaseous aromatic hydrocarbons in a binary mixture on nanoporous covalent organic polymers at various partial pressures,0,Kim K.-H.,Academic Press Inc.,"Maitlo Hubdar Ali, Kim Ki Hyun, Khan Azmatullah, Szulejko Jan E., Kim Jo-chun, Song Hee-nam, Ahn Whaseung",01월 11일,Article,Environmental Research,Jun-19,,1,0,0,1
26,Porous Covalent Organic Polymers Comprising a Phosphite Skeleton for Aqueous Nd(III) Capture,0,Ahn W.-S.,American Chemical Society,"Ravi Seenu, Puthiaraj Pillaiyar, Yu Kwangsun, Ahn Whaseung",11488-11497,Article,ACS Applied Materials and Interfaces,27-Mar-19,,1,1,0,1
27,Ionic liquid entrapped UiO-66: Efficient adsorbent for Gd3+ capture from water,0,Ahn W.-S.,Elsevier B.V.,"Ahmed Imteaz, Adhikary Keshab Kumar, Lee Yuri, Ho Row Kyung, Kang K. K., Ahn Whaseung",792-799,Article,Chemical Engineering Journal,15-Aug-19,,1,1,0,1
28,CO2 adsorption and conversion into cyclic carbonates over a porous ZnBr2-grafted N-heterocyclic carbene-based aromatic polymer,0,Ahn W.-S.,Elsevier B.V.,"Puthiaraj Pillaiyar, Ravi Seenu, Yu Kwangsun, Ahn Whaseung",195-205,Article,Applied Catalysis B: Environmental,15-Aug-19,,1,1,0,1
29,Pd(II)-immobilized on a nanoporous triazine-based covalent imine framework for facile cyanation of haloarenes with K4Fe(CN)6,0,Ahn W.-S.,Elsevier B.V.,"Puthiaraj Pillaiyar, Yu Kwangsun, Shim Sang-eun, Ahn Whaseung",110395,Article,Molecular Catalysis,Aug-19,,1,1,0,1
30,0,0,0,0,0,0,0,0,0,,0,1,0,1
31,MgFeAl layered double hydroxide prepared from recycled industrial solid wastes for CO2 fixation by cycloaddition to epoxides,0,Ahn W.-S.,Elsevier Ltd,"Zhang Siqian, Wang Qiang, Puthiaraj Pillaiyar, Ahn Whaseung",395-403,Article,Journal of CO2 Utilization,Dec-19,,1,1,0,1
32,Adsorption properties of advanced functional materials against gaseous formaldehyde,0,Kim K.-H.,Academic Press Inc.,"Vikrant Kumar, Cho Minkyu, Khan Azmatullah, Kim Ki Hyun, Ahn Whaseung, Kwon Eilhann E.",108672,Article,Environmental Research,Nov-19,,1,1,0,1
33,0,0,0,0,0,0,0,0,0,,0,1,0,1
34,Oxygen-Deficient NiFe2O4 Spinel Nanoparticles as an Enhanced Electrocatalyst for the Oxygen Evolution Reaction,0,Baeck S.-H.,Wiley-VCH Verlag,"Lim Dongwook, Kong Hyungseok, Kim Namil, Lim Chaewon, Ahn Whaseung, Baeck Sunghyeon",1296-1302,Article,ChemNanoMat,01-Oct-19,,1,1,0,1
35,Poly(amidoamine) dendrimer immobilized on mesoporous silica foam (MSF) and fibrous nano-silica KCC-1 for Gd3+ adsorption in water,0,Ahn W.-S.,Elsevier B.V.,"Lee Yuri, Zhang Siqian, Yu Kwangsun, Choi Jinsub, Ahn Whaseung",122133,Article,Chemical Engineering Journal,15-Dec-19,,1,1,0,1
36,Conformance control in oil reservoir based on magnetorheological behavior of nanoparticle suspension,0,Choi H.J.,Academic Press,"Esmaeilnezhad Ehsan, Van Si Le, Choi Hyoungjin, Chon Bohyun, Schaffie Mahin, Gholizadeh M., Ranjbar Mohammad",1127-1134,Article,Journal of Environmental Management,01-Feb-19,,1,1,0,1
37,Fabrication and electro-responsive electrorheological characteristics of rice husk-based nanosilica suspension,0,Vu C.M.,Taiwan Institute of Chemical Engineers,"Kwon Seung-hyuk, Park In-hye, Vu Cuong Manh, Choi Hyoungjin",432-437,Article,Journal of the Taiwan Institute of Chemical Engineers,Feb-19,,1,1,0,1
38,Polymer-magnetic composite particles of Fe 3 O 4 /poly(o-anisidine) and their suspension characteristics under applied magnetic fields,0,Choi H.J.,MDPI AG,"Lee Jinhee, Lu Qi, Lee Jae-yun, Choi Hyoungjin",219,Article,PolymersOpen Access,28-Jan-19,,1,1,0,1
39,Synthesis and thermal analysis of hydrophobic iron oxide nanoparticles for improving in-situ combustion efficiency of heavy oils,0,Esmaeilnezhad E.,Korean Society of Industrial Engineering Chemistry,"Esmaeilnezhad Ehsan, Karimian Milad, Choi Hyoungjin",402-409,Article,Journal of Industrial and Engineering Chemistry,25-Mar-19,,1,1,1,1
40,Fabrication of dual-coated graphene oxide nanosheets by polypyrrole and poly(ionic liquid) and their enhanced electrorheological responses,0,Liu Y.D.,Korean Society of Industrial Engineering Chemistry,"Chen Panpan, Cheng Qianqian, Wang Limin, Liu Yingdan, Choi Hyoungjin",106-115,Article,Journal of Industrial and Engineering Chemistry,25-Jan-19,,1,1,1,1
41,0,0,0,0,0,0,0,0,0,,0,1,0,1
42,0,0,0,0,0,0,0,0,0,,0,1,0,1
43,Jellyfish-shaped p-phenylenediamine functionalized graphene oxide-g-polyaniline fibers and their electrorheology,0,Zhang K.,Elsevier Ltd,"Zhang Ke, Li Haitao, Dong Yuzhen, Zhang Honglin, Zhao Wei, Zhao Siqin, Choi Hyoungjin",29-35,Article,Polymer,02-Apr-19,,1,1,0,1
44,Magnetorheological characteristics of carbonyl iron microparticles with different shapes,0,Choi H.J.,"Korean Society of Rheology, Australian Society of Rheology","Lee Jae-yun, Kwon Seung-hyuk, Choi Hyoungjin",41-47,Article,Korea Australia Rheology Journal,01-Feb-19,,1,1,1,1
45,Magnetostrictive and viscoelastic characteristics of polyurethane-based magnetorheological elastomer,0,Bica I.,Korean Society of Industrial Engineering Chemistry,"Bica Ioan, Anitas Eugen Mircea, Averis Larisa Marina Elisabeth, Kwon Seung-hyuk, Choi Hyoungjin",128-133,Article,Journal of Industrial and Engineering Chemistry,25-May-19,,1,1,1,1
46,Rheological effect of Zn-doped ferrite nanoparticle additive with enhanced magnetism on micro-spherical carbonyl iron based magnetorheological suspension,0,Choi H.J.,Elsevier B.V.,"Han Jaekyeong, Lee Jae-yun, Choi Hyoungjin",168-173,Article,Colloids and Surfaces A: Physicochemical and Engineering Aspects,20-Jun-19,,1,1,0,1
47,Polyindole-coated soft-magnetic particles and their viscoelastic behaviors under applied magnetic field,0,Choi H.J.,Seoul National University 501-321,"Park In-hye, Kwon Seung-hyuk, Choi Hyoungjin, Kim Namhui, You Chun Yeol",155-161,Article,Journal of Magnetics,2019,,1,1,1,1
48,Fabrication of magnetite nanoparticle-embedded polystyrene composites and their additive role on the dynamic properties of carbonyl iron-based magneto-rheological fluids,0,Choi H.J.,Seoul National University 501-321,"Gao Chunyan, Lu Qi, Choi Hyoungjin, Kim Namhui, You Chun Yeol",162-167,Article,Journal of Magnetics,2019,,1,1,1,1
49,Micron-size white bamboo fibril-based silane cellulose aerogel: Fabrication and oil absorbent characteristics,0,Vu C.M.,MDPI AG,"Nguyen Dinh Duc, Vu Cuong Manh, Vu Huong Thi, Choi Hyoungjin",1407,Article,MaterialsOpen Access,2019,,1,1,0,1
50,Poly(glycidyl methacrylate) Coated Soft-Magnetic Carbonyl Iron/Silicone Rubber Composite Elastomer and Its Magnetorheology,0,Choi H.J.,Polymer Society of Korea,"Kwon Seung-hyuk, An Ji-su, Choi Soyeon, Chung Kyungho, Choi Hyoungjin",448-453,Article,Macromolecular Research,01-May-19,,1,1,1,1
51,Recent development of electro-responsive smart electrorheological fluids,0,Seo Y.,Royal Society of Chemistry,"Dong Yuzhen, Seo Yongsok, Choi Hyoungjin",3473-3486,Review,Soft Matter,2019,,1,1,0,1
52,Viscoelastic and mechanical behaviors of magneto-rheological carbonyl iron/natural rubber composites with magnetic iron oxide nanoparticle,0,Jung J.H.,Institute of Physics Publishing,"Kwon Seung-hyuk, Lee Chul-joo, Choi Hyoungjin, Chung Kyungho, Jung Jaeheum",45012,Article,Smart Materials and Structures,14-Mar-19,,1,1,0,1
53,Spontaneous Phase Separation of Poly(3-hexylthiophene)s with Different Regioregularity for a Stretchable Semiconducting Film,0,Yang H.,Wiley-VCH Verlag,"Gao Chunyan, Pei Mingyuan, Choi Hyoungjin, Yang Hoichang",1903163,Article,Advanced Functional Materials,2019,,1,1,0,1
54,Role of calcium carbonate as an interfacial compatibilizer in the magneto-rheological elastomers based on ethylene/acrylic elastomer (AEM) and its magneto-induced properties,0,Wang S.,Institute of Physics Publishing,"Gao Tianming, Chen Jing, Hui Yonghai, Wang Sheng, Choi Hyoungjin, Chung Kyungho",85320,Article,Materials Research ExpressOpen Access,22-May-19,,1,1,0,1
55,Rheological and mechanical properties of polypropylene composites containing microfibrillated cellulose (MFC) with improved compatibility through surface silylation,0,Nam J.-D.,Springer Netherlands,"Kim Sunghoon, Kim Eui-su, Choi Kisuk, Cho Jungkeun, Sun Hanna, Yoo Jiwang, Park In-kyung, Lee Youngkwan, Choi Hyoukryeol, Kim Taesung, Suhr Jonghwan, Yun Ju-ho, Choi Hyoungjin, Nam Jaedo",1085-1097,Article,Cellulose,30-Jan-19,,1,1,0,1
56,Non-Einstein Viscosity Phenomenon of Acrylonitrile-Butadiene-Styrene Composites Containing Lignin-Polycaprolactone Particulates Highly Dispersed by High-Shear Stress,0,Nam J.-D.,American Chemical Society,"Kim Sunghoon, Choi Kisuk, Choi Hyoukryeol, Kim Taesung, Suhr Jonghwan, Kim Kwang-jin, Choi Hyoungjin, Nam Jaedo",10036-10043,Article,ACS OmegaOpen Access,10-Jun-19,,1,1,0,1
57,Quantitative Electrode Design Modeling of an Electroadhesive Lifting Device Based on the Localized Charge Distribution and Interfacial Polarization of Different Objects,0,Nam J.-D.,American Chemical Society,"Choi Kisuk, Chan Kim Ye, Sun Hanna, Kim Sunghoon, Yoo Jiwang, Park In-kyung, Lee Pyoungchan, Choi Hyoungjin, Choi Hyoukryeol, Kim Taesung, Suhr Jonghwan, Lee Youngkwan, Nam Jaedo",7994-8000,Article,ACS OmegaOpen Access,02-May-19,,1,1,0,1
58,Quantitative characterization of a voltage-dependent pseudocapacitance on heteroatom-enriched nanoporous carbons,0,Yun Y.S.,Elsevier Ltd,"Han Jaekyeong, Lee Min-eui, Choi Hyoungjin, Jin Hyoung-Joon, Yun Youngsoo",71-77,Article,Electrochimica Acta,10-Apr-19,,1,1,0,1
59,Polyindole nanoparticle-based electrorheological fluid and its green and clean future potential conformance control technique to oil fields,0,Choi H.J.,Elsevier Ltd,"Esmaeilnezhad Ehsan, Choi Hyoungjin",1218-1225,Article,Journal of Cleaner Production,10-Sep-19,,1,1,0,1
60,Graphene oxide and its inorganic composites: Fabrication and electrorheological response,0,Choi H.J.,MDPI AG,"Dong Yuzhen, Kim Joo-nyeon, Choi Hyoungjin",2185,Review,MaterialsOpen Access,01-Jul-19,,1,1,0,1
61,"Reply to comment on 'Synthesis, characterization and magnetorheological study of 3-aminopropyltriethoxysilane-modified Fe3O4 nanoparticles'",0,Copyright 2019 Elsevier B.V. All rights reserved.,Institute of Physics Publishing,"Zeng Yingzhe, Ma Yingying, Wang Guangshuo",88002,Article,Smart Materials and Structures,08-Jul-19,,1,1,0,1
62,Raman spectroscopy study of solution-processed In2O3 thin films: effect of annealing temperature on the characteristics of In2O3 semiconductors and thin-film transistors,0,Park J.,Taylor and Francis Inc.,"Lee Hyeonju, Kim Bokyung, Gao Chunyan, Choi Hyoungjin, Ko Jaehyun, Seo Cheong Hoon, Park Jaehoon",38-47,Article,Molecular Crystals and Liquid Crystals,2019,,1,1,0,1
63,Effects of dispersion state on rheological and electrical characteristics of concentrated multiwalled carbon nanotube suspensions,0,Choi H.J.,"Korean Society of Rheology, Australian Society of Rheology","Kim Min-hwan, Kwon Seung-hyuk, Choi Hyoungjin",179-186,Article,Korea Australia Rheology Journal,01-Aug-19,,1,1,1,1
64,Nanosilica extracted from hexafluorosilicic acid of waste fertilizer as reinforcement material for natural rubber: Preparation and mechanical characteristics,0,Vu C.M.,MDPI AG,"Nguyen Van-Huy, Vu Cuong Manh, Choi Hyoungjin, Kien Bui Xuan",2707,Article,MaterialsOpen Access,2019,,1,1,0,1
65,Electrorheological characteristics of poly(diphenylamine)/magnetite composite-based suspension,0,Choi H.J.,MDPI AG,"Dong Yuzhen, Choi Hyoungjin",2911,Article,MaterialsOpen Access,01-Sep-19,,1,1,0,1
66,Toughness and rheological characteristics of poly(lactic acid)/acrylic core–shell rubber blends,0,Choi H.J.,Springer Verlag,"Lee Jae-yun, Kwon Seung-hyuk, Chin In-joo, Choi Hyoungjin",5483-5497,Article,Polymer Bulletin,01-Nov-19,,1,1,0,1
67,Facile fabrication of core-shell typed silica/poly(diphenylamine) composite microparticles and their electro-response,0,Choi H.J.,Elsevier Ltd,"Jang Hyo-seon, Kwon Seung-hyuk, Lee Jin-hyun, Choi Hyoungjin",121851,Article,Polymer,07-Nov-19,,1,1,0,1
68,Effect of medium viscosity on rheological characteristics of magnetite-based magnetorheological fluids,0,Esmaeilnezhad E.,Korean Society of Industrial Engineering Chemistry,"Esmaeilnezhad Ehsan, Hajiabadi Seyed Hasan, Choi Hyoungjin",197-204,Article,Journal of Industrial and Engineering Chemistry,25-Dec-19,,1,1,1,1
69,"Highly Tough, Biocompatible, and Magneto-Responsive Fe3O4/Laponite/PDMAAm Nanocomposite Hydrogels",0,Lee J.H.,Nature Research,"Lee Jin-hyun, Han Wenjiao, Jang Hyo-seon, Choi Hyoungjin",15024,Article,Scientific ReportsOpen Access,01-Dec-19,,1,1,0,1
70,Synthesis of conducting polymeric nanoparticles in the presence of a polymerizable surfactant and their electrorheological response,0,Choi H.J.,Springer Verlag,"Han Wenjiao, Choi Hyoungjin",2019,Article,Colloid and Polymer Science,2019,,1,1,0,1
71,Stimuli-Responsive Graphene Oxide-Polymer Nanocomposites,0,Choi H.J.,Polymer Society of Korea,"Lu Qi, Jang Hyo-seon, Han Wenjiao, Lee Jin-hyun, Choi Hyoungjin",1061-1070,Review,Macromolecular Research,01-Nov-19,,1,1,1,1
72,Suspensions of Hollow Polydivinylbenzene Nanoparticles Decorated with Fe3O4 Nanoparticles as Magnetorheological Fluids for Microfluidics Applications,0,Seo Y.,American Chemical Society,"Choi Junsok, Han Sangsok, Kim Hoyeon, Sohn Eun-ho, Choi Hyoungjin, Seo Yongsok",6939-6947,Article,ACS Applied Nano Materials,22-Nov-19,,1,1,0,1
73,Microfibrillated cellulose suspension and its electrorheology,0,Choi H.J.,MDPI AG,"Choi Kisuk, Nam Jaedo, Kwon Seung-hyuk, Choi Hyoungjin, Islam M. S., Kao Nhol",2119,Article,PolymersOpen Access,01-Dec-19,,1,1,0,1
74,The Effect of Entrepreneurship Orientation on Firm Performance: A Multiple Mediation Model,0,Zacca R.,Routledge,"Jeong Youngmin, Ali Murad, Zacca Robert, Park Kichan",166-193,Article,Journal of East-West Business,03-Apr-19,,1,1,0,1
75,0,0,0,0,0,0,0,0,0,,0,0,1,1
76,0,0,0,0,0,0,0,0,0,,0,0,0,0
77,0,0,0,0,0,0,0,0,0,,0,0,1,1
78,0,0,0,0,0,0,0,0,0,,0,0,1,1
79,"The eschar size and early inoculation lesion of tsutsugamushi disease on jeju Island, Korea",0,Chung M.-H.,Korean Society for Antimicrobial Therapy,"Kim Young-hoon, Hyun Woojin, Kim Dong-pil, Chung Moon-hyun, Im Jae-hyoung, Baek Jihyeon, Lee Jin-soo, Kang Jae-seung",345-354,Article,Infection and ChemotherapyOpen Access,01-Dec-19,,1,1,1,1
80,History of tsutsugamushi disease in Korea,0,Chung M.-H.,Korean Society for Antimicrobial Therapy,"Chung Moon-hyun, Kang Jae-seung",196-209,Article,Infection and ChemotherapyOpen Access,2019,,1,1,1,1
81,P-Protein: A Novel Target for Skin-whitening Agent,0,Kim E.-K.,Korean Society for Biotechnology and Bioengineering,"Singh Birendra Kumar, Kim Eunki",76-84,Review,Biotechnology and Bioprocess Engineering,01-Feb-19,,1,1,1,1
82,"Distinct phylogeographic structure of the halophyte Suaeda malacosperma (Chenopodiaceae/Amaranthaceae), endemic to Korea–Japan region, influenced by historical range shift dynamics",0,Choi B.-H.,Springer-Verlag Wien,"Park Jong-soo, Takayama Koji, Suyama Yoshihisa, Choi Byoung-hee",193-203,Article,Plant Systematics and Evolution,01-Mar-19,,1,1,0,1
83,"Complete chloroplast genome of Fagus multinervis, a beech species endemic to Ulleung Island in South Korea",0,Choi B.-H.,Taylor and Francis Ltd.,"Park Jong-soo, Jin Dongpil, Park Jong-won, Choi Byoung-hee",1698-1699,Article,Mitochondrial DNA Part B: Resources,02-Jan-19,,1,1,0,1
84,Plastid genome evolution in tribe Desmodieae (Fabaceae: Papilionoideae),0,Choi B.-H.,Public Library of Science,"Jin Dongpil, Choi In-su, Choi Byoung-hee",e0218743,Article,PLoS ONEOpen Access,Jun-19,,1,1,0,1
85,0,0,0,0,0,0,0,0,0,,0,0,1,1
86,0,0,0,0,0,0,0,0,0,,0,0,1,1
87,State-vector equation method for the frequency domain spectral element modeling of non-uniform one-dimensional structures,0,Lee U.,Elsevier Ltd,"Kim Taehyun, Lee Bitna, Lee Usik",75-86,Article,International Journal of Mechanical Sciences,Jul-19,,1,1,0,1
88,Custom-Made Eyeglass-Holding Hook on a Snapback Cap to Prevent Nose-Pads from Directly Resting Upon the Nose,0,Hwang K.,Lippincott Williams and Wilkins,"Hwang Kun, Kim Dae-joong",E605-E607,Article,Journal of Craniofacial Surgery,01-Oct-19,,1,1,0,1
89,0,0,0,0,0,0,0,0,0,,0,1,0,1
90,Efficacy of a novel hemostatic adhesive powder in patients with refractory upper gastrointestinal bleeding: A pilot study,0,Lee D.H.,Georg Thieme Verlag,"Park Jin-seok, Bang Byoungwook, Hong Su-jin, Lee Eunhye, Kwon Kyesook, Kim Hyungkil, Shin Youngwoon, Lee Donhaeng",458-462,Article,Endoscopy,2019,,1,0,0,1
91,Endoscopic Enucleation Is Effective and Relatively Safe in Small Gastric Subepithelial Tumors Originating from Muscularis Propria,0,Kim H.K.,Springer New York LLC,"Ko Eunjung, Bang Byoungwook, Kwon Kyesook, Shin Youngwoon, Kim Hyungkil",524-531,Article,Digestive Diseases and Sciences,15-Feb-19,,1,1,0,1
92,0,0,0,0,0,0,0,0,0,,0,0,1,1
93,Unusual concrement in the submandibular gland,0,Copyright 2017 Elsevier B.V. All rights reserved.,0,Maskow H.,237-238,Article,Laryngologie Rhinologie Otologie,1976,,1,0,0,1
94,Association between salivary secretary function and laryngopharyngeal reflux: a prospective study,0,Kim Y.-M.,Mosby Inc.,"Kim Ji-won, Kim Hong-ju, Park Ki-ik, Kim Young-mo, Choi Jeong-seok",615-620.e1,Article,"Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology",Dec-19,,1,1,0,1
95,Adipose-derived mesenchymal stem cells regenerate radioiodine-induced salivary gland damage in a murine model,0,Choi J.-S.,Nature Publishing Group,"Kim Ji-won, Kim Jeong-mi, Choi Mi-eun, Kim Seok-ki, Kim Young-mo, Choi Jeong-seok",15752,Article,Scientific ReportsOpen Access,01-Dec-19,,1,0,0,1
96,Identification of new genes of pleomorphic adenoma,0,Jang J.-H.,Lippincott Williams and Wilkins,"Choi Jeong-seok, Cho Byung-han, Kim Hong-ju, Kim Young-mo, Jang Junhyeog",e18468,Article,Medicine (United States)Open Access,01-Dec-19,,1,1,0,1
97,Parotid ductal stenosis after facial cosmetic surgery (2 case reports),0,This record is sourced from MEDLINE/PubMed a database of the U.S. National Library of Medicine,NLM (Medline),"Choi Jeong-seok, Kim Young-mo, Lim Jae-yol",e15015,Article,MedicineOpen Access,01-Apr-19,,1,1,0,1
98,Protective effects of curcumin on radioiodine-induced salivary gland dysfunction in mice,0,Choi J.-S.,John Wiley and Sons Ltd,"Kim Jeong-mi, Kim Ji-won, Choi Mi-eun, Kim Seok-ki, Kim Young-mo, Choi Jeong-seok",674-681,Article,Journal of Tissue Engineering and Regenerative Medicine,Apr-19,,1,1,0,1
99,Fucoidan attenuates radioiodine-induced salivary gland dysfunction in mice,0,Choi J.-S.,BioMed Central Ltd.,"Kim Young-mo, Kim Jeong-mi, Kim Ji-won, Choi Mi-eun, Kim Seok-ki, Choi Jeong-seok",198,Article,BMC Oral HealthOpen Access,30-Aug-19,,1,1,0,1
100,Tongue base varix as a source of oral bleeding: A case report,0,This record is sourced from MEDLINE/PubMed a database of the U.S. National Library of Medicine,NLM (Medline),"Kim Young-mo, Kim Ji-won, Park In-suh, Choi Jeong-seok",e16987,Article,MedicineOpen Access,01-Oct-19,,1,1,0,1
101,Synthesis of Novel Palladium Complexes Containing β-Diketonate and NHC Ligands and their Catalytic Ability for Addition Polymerizations of the Functional Norbornenes,0,Lee I.M.,Wiley Blackwell,"Lee Dong-jin, Kim Myungwoong, Kim Chan-kyung, Lee Ikmo",710-718,Article,Bulletin of the Korean Chemical SocietyOpen Access,Jul-19,,1,1,0,1
102,0,0,0,0,0,0,0,0,0,,0,0,1,1
103,0,0,0,0,0,0,0,0,0,,0,0,1,1
104,0,0,0,0,0,0,0,0,0,,0,0,1,1
105,0,0,0,0,0,0,0,0,0,,0,0,1,1
106,0,0,0,0,0,0,0,0,0,,0,0,1,1
107,0,0,0,0,0,0,0,0,0,,0,0,1,1
108,0,0,0,0,0,0,0,0,0,,0,0,1,1
109,0,0,0,0,0,0,0,0,0,,0,0,1,1
110,Effects of jupcheong (soaking in syrup) with ginger powder on the lipid oxidation and antioxidant stability of yakgwa (Korean deep-fried confection),0,Choe E.,The Korean Society of Food Science and Technology,"Oh Boyoung, Lee Kyungae, Choe Eunok",329-335,Article,Food Science and Biotechnology,05-Apr-19,,1,1,1,1
111,0,0,0,0,0,0,0,0,0,,0,0,1,1
112,Interaction effect of tocopherol homologs with peppermint extract on the iron-catalyzed oxidation of soybean oil-in-water emulsion,0,Choe E.,The Korean Society of Food Science and Technology,"Kim Jihee, Choe Eunok",1679-1685,Article,Food Science and Biotechnology,01-Dec-19,,1,1,1,1
113,Predictive value of single photon emission computerized tomography and computerized tomography in osteonecrosis after femoral neck fracture: a prospective study,0,Yan Z.-Q.,Springer Verlag,"Yuan Hengfeng, Shen Feng, Zhang Jing, Shi Hongcheng, Gu Yushen, Yan Zuoqin",1417-1422,Article,International Orthopaedics,26-Jul-15,,1,1,0,1
114,0,0,0,0,0,0,0,0,0,,0,0,1,1
115,0,0,0,0,0,0,0,0,0,,0,1,0,1
